mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
683002,Gunnar Henderson,BAL,101.567376,32.803557,6.778278,34.70805,23.034,113.774,94.23,4.6005835,146.58,75.384,0.282449,0.0920059,0.3770042,10.0846487,698
596019,Francisco Lindor,NYM,101.282464,36.226575,2.4395,32.0374656,22.304,108.732,92.004,4.879,130.339,66.215,0.2726539,0.088688,0.3566924,9.4047324,697
677951,Bobby Witt Jr.,KC,108.038688,41.15622,9.45864,35.0871,36.192,112.752,103.008,11.0468142,111.36,58.464,0.3038897,0.0987064,0.3914405,12.0672964,696
682998,Corbin Carroll,ARI,90.832641,33.27165,14.34516,25.008672,40.078,112.633,81.538,8.7564389,134.054,71.864,0.26401,0.0851371,0.353455,10.3771076,691
680757,Steven Kwan,CLE,132.404224,29.19872,4.557312,9.1504,19.1264,97.008,59.856,4.3587738,70.864,74.992,0.2859843,0.0918229,0.3356372,5.5584202,688
665742,Juan Soto,NYM,90.108736,35.10864,2.408,36.062208,7.568,114.208,97.696,3.2234932,112.832,123.152,0.2897905,0.093045,0.4142468,8.6497537,688
665489,Vladimir Guerrero Jr.,TOR,111.02256,40.415872,1.783296,34.952464,4.128,94.944,107.328,1.6123866,99.072,68.8,0.3038989,0.0975748,0.3910433,8.0212546,688
663586,Austin Riley,ATL,94.41441,36.991515,2.6106,39.041523,2.1984,105.111,100.989,0.6886841,165.567,57.021,0.2747045,0.088073,0.3659494,7.9893058,687
694192,Jackson Chourio,MIL,108.934155,33.187596,4.674348,25.367475,30.228,96.867,83.127,6.9828476,137.4,48.09,0.2694645,0.086393,0.3335012,8.9137149,687
663656,Kyle Tucker,CHC,92.922816,36.36486,3.76957,33.0877008,19.208,102.9,96.04,4.5807487,102.9,90.552,0.2790251,0.089328,0.3827043,9.1295201,686
607208,Trea Turner,PHI,115.33718,35.558124,4.893238,24.84006,20.58,101.528,79.576,4.546614,135.828,45.276,0.2819133,0.0902526,0.3426328,7.9494525,686
642715,Willy Adames,SF,88.773888,34.723262,0.786156,26.10573,11.662,91.238,86.436,4.6196128,179.046,74.088,0.2457691,0.0786813,0.3304631,6.5817035,686
682829,Elly De La Cruz,CIN,88.476654,32.804928,5.8301,27.345528,57.29,101.1,84.924,14.8857586,204.896,68.748,0.2551949,0.0802698,0.3423304,12.1045222,674
665487,Fernando Tatis Jr.,SD,94.319136,32.3698435,1.586793,39.273627,22.678,103.385,97.382,4.5715578,142.071,62.031,0.2769553,0.0862096,0.3716934,10.062848,667
645277,Ozzie Albies,ATL,102.748776,33.8875955,3.07325,22.577065,14.881,87.992,85.404,3.1909872,103.52,44.643,0.2694194,0.0813492,0.3307902,6.5580592,647
668804,Bryan Reynolds,PIT,105.756966,34.319376,3.024945,25.639719,8.148,90.986,83.517,2.6181029,145.985,58.394,0.2718972,0.0861578,0.3429265,6.2973805,679
605141,Mookie Betts,LAD,98.444601,38.48068,3.966543,29.0433,17.602,111.705,98.165,3.5117711,89.364,81.917,0.2855654,0.0902224,0.378489,8.9360923,677
680776,Jarren Duran,BOS,102.452532,38.09598,5.710848,18.322304,33.8,101.4,71.656,6.2406154,159.536,53.404,0.2643474,0.0833954,0.3264858,8.3064112,676
678662,Ezequiel Tovar,COL,101.6871648,34.168758,3.9208,23.08878,10.14,84.5,82.472,3.622209,187.928,26.364,0.2507027,0.0790908,0.3003945,5.7979858,676
677594,Julio Rodriguez,SEA,103.8933,36.13545,2.689875,29.403,27,97.2,91.8,6.075,155.925,45.9,0.2735998,0.0861866,0.3433788,9.2235517,675
621020,Dansby Swanson,CHC,96.524352,28.16505,2.218881,21.254013,17.498,81.433,77.395,4.0702117,167.577,64.608,0.243531,0.0764873,0.3139821,6.0948819,673
650490,Yandy Diaz,TB,117.214391,34.456254,1.485984,17.98929,2.8266,91.0569,67.973,0.7540888,104.315,69.319,0.2835039,0.0890419,0.346199,4.5692967,673
547180,Bryce Harper,PHI,95.038944,34.175232,2.054304,32.92128,8.736,95.1552,101.472,3.2538776,141.792,89.376,0.2818108,0.0883786,0.3836853,7.8457284,672
621566,Matt Olson,ATL,78.55397,30.217814,0.063745,38.801246,0.671,98.637,110.044,0.2104761,161.04,76.494,0.2483352,0.0777644,0.3547715,7.5343091,671
608070,Jose Ramirez,CLE,97.8112,39.6814,2.8152,29.716,32.64,97.24,99.28,7.5898088,86.36,57.8,0.2732623,0.0867179,0.3528348,10.1428108,680
664023,Ian Happ,CHC,85.41696,29.84649,2.94532,25.00641,12.06,93.8,81.74,3.2918798,162.14,75.71,0.2409853,0.0753504,0.328329,6.3362585,670
663697,Jonathan India,KC,101.24772,36.3475,3.64212,16.1135,16.08,91.79,67,3.2959436,131.32,77.72,0.2656697,0.0830686,0.3383837,5.6561953,670
686668,Brenton Doyle,COL,93.57972,27.633714,4.85025,23.8883175,34.119,86.97,69.576,6.8215733,187.32,46.83,0.2410145,0.0752471,0.3065518,8.0812946,669
