mlb_id,name,pos
660271,Shohei Ohtani,UT
677951,Bobby Witt Jr.,SS
592450,Aaron Judge,OF
665487,Fernando Tatis Jr.,OF
682998,Corbin Carroll,OF
682829,Elly De La Cruz,SS
665742,Juan Soto,OF
663656,Kyle Tucker,OF
608070,Jose Ramirez,3B
677594,Julio Rodriguez,OF
683002,Gunnar Henderson,SS
670541,Yordan Alvarez,OF
694192,Jackson Chourio,OF
665489,Vladimir Guerrero Jr.,1B
605141,Mookie Betts,"SS, OF"
671739,Michael Harris II,OF
596019,Francisco Lindor,SS
680776,Jarren Duran,OF
660670,Ronald Acuna Jr.,OF
518692,Freddie Freeman,1B
665862,Jazz Chisholm Jr.,"3B, OF"
663586,Austin Riley,3B
547180,Bryce Harper,1B
701538,Jackson Merrill,OF
694671,Wyatt Langford,OF
607208,Trea Turner,SS
661388,William Contreras,C
673548,Seiya Suzuki,OF
695578,James Wood,OF
592518,Manny Machado,3B
606466,Ketel Marte,2B
686668,Brenton Doyle,OF
608369,Corey Seager,SS
665833,Oneil Cruz,"SS, OF"
668804,Bryan Reynolds,OF
646240,Rafael Devers,3B
621566,Matt Olson,1B
656941,Kyle Schwarber,UT
592885,Christian Yelich,OF
680757,Steven Kwan,OF
667670,Brent Rooker,UT
673357,Luis Robert Jr.,OF
606192,Teoscar Hernandez,OF
542303,Marcell Ozuna,UT
671732,Lawrence Butler,OF
514888,Jose Altuve,2B
623993,Anthony Santander,OF
691176,Jasson Dominguez,OF
808982,Jung Hoo Lee,OF
682985,Riley Greene,OF
686611,Dylan Crews,OF
682928,CJ Abrams,SS
641355,Cody Bellinger,"1B, OF"
664023,Ian Happ,OF
691718,Pete Crow-Armstrong,OF
668901,Mark Vientos,3B
680574,Matt McLain,"2B, SS"
686469,Vinnie Pasquantino,1B
673237,Yainer Diaz,C
645277,Ozzie Albies,2B
691406,Junior Caminero,3B
668939,Adley Rutschman,C
595777,Jurickson Profar,OF
678009,Parker Meadows,OF
575929,Willson Contreras,C
647304,Josh Naylor,1B
660821,Jesus Sanchez,OF
572233,Christian Walker,1B
666182,Bo Bichette,SS
683011,Anthony Volpe,SS
669242,Tommy Edman,OF
650859,Luis Rengifo,"2B, 3B"
624413,Pete Alonso,1B
676059,Jordan Westburg,"2B, 3B"
668904,Royce Lewis,3B
666139,Josh Lowe,OF
669364,Xavier Edwards,SS
666971,Lourdes Gurriel Jr.,OF
502671,Paul Goldschmidt,1B
545361,Mike Trout,OF
621493,Taylor Ward,OF
657041,Lane Thomas,OF
668227,Randy Arozarena,OF
592206,Nick Castellanos,OF
543807,George Springer,OF
666969,Adolis Garcia,OF
681297,Colton Cowser,OF
593428,Xander Bogaerts,"2B, SS"
608324,Alex Bregman,3B
642715,Willy Adames,SS
650490,Yandy Diaz,1B
607043,Brandon Nimmo,OF
645302,Victor Robles,OF
664983,Jake McCarthy,OF
663457,Lars Nootbaar,OF
