mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa,ab,pos,summarized_pos,cutline_raw,cutline_rank,summarized_pos_cut_rank,vdp_score,vdp_position_discount,vdp_score_adj,vdp_score_norm,vdp_dollars
683002.0,Gunnar Henderson,BAL,101.567376,32.803557,6.778278,34.70805,23.034,113.774,94.23,4.6005835,146.58,75.384,0.282449,0.0920059,0.3770042,10.0846487,698,622.616,SS,MI,819.8103,3.0,48.0,2.989299616729099,-1.26,4.249299616729099,3.052005763288038,33.3
596019.0,Francisco Lindor,NYM,101.282464,36.226575,2.4395,32.0374656,22.304,108.732,92.004,4.879,130.339,66.215,0.2726539,0.088688,0.3566924,9.4047324,697,630.785,SS,MI,762.4317936,5.0,48.0,2.4564358850118495,-1.26,3.7164358850118493,2.5813504111104693,28.3
677951.0,Bobby Witt Jr.,KC,108.038688,41.15622,9.45864,35.0871,36.192,112.752,103.008,11.0468142,111.36,58.464,0.3038897,0.0987064,0.3914405,12.0672964,696,637.5360000000001,SS,MI,960.4666,1.0,48.0,4.350367992776588,-1.26,5.610367992776588,4.31944394149222,46.7
682998.0,Corbin Carroll,ARI,90.832641,33.27165,14.34516,25.008672,40.078,112.633,81.538,8.7564389,134.054,71.864,0.26401,0.0851371,0.353455,10.3771076,691,619.136,OF,O,773.648032,4.0,84.0,2.755634311465168,-2.01,4.765634311465168,3.5224071103904486,38.3
680757.0,Steven Kwan,CLE,132.404224,29.19872,4.557312,9.1504,19.1264,97.008,59.856,4.3587738,70.864,74.992,0.2859843,0.0918229,0.3356372,5.5584202,688,613.008,OF,O,552.2543999999999,30.0,84.0,0.717509796899237,-2.01,2.727509796899237,1.753462796106454,19.5
665742.0,Juan Soto,NYM,90.108736,35.10864,2.408,36.062208,7.568,114.208,97.696,3.2234932,112.832,123.152,0.2897905,0.093045,0.4142468,8.6497537,688,564.848,OF,O,768.1732480000002,5.0,84.0,2.4663873965196035,-2.01,4.476387396519604,3.257228582321484,35.5
665489.0,Vladimir Guerrero Jr.,TOR,111.02256,40.415872,1.783296,34.952464,4.128,94.944,107.328,1.6123866,99.072,68.8,0.3038989,0.0975748,0.3910433,8.0212546,688,619.2,1B,CI,768.698784,2.0,48.0,2.34657584591204,-1.57,3.91657584591204,2.7562704767418134,30.2
663586.0,Austin Riley,ATL,94.41441,36.991515,2.6106,39.041523,2.1984,105.111,100.989,0.6886841,165.567,57.021,0.2747045,0.088073,0.3659494,7.9893058,687,629.979,3B,CI,719.4621379999999,3.0,48.0,1.8588635837479044,-1.57,3.4288635837479045,2.334137390965075,25.7
694192.0,Jackson Chourio,MIL,108.934155,33.187596,4.674348,25.367475,30.228,96.867,83.127,6.9828476,137.4,48.09,0.2694645,0.086393,0.3335012,8.9137149,687,638.91,OF,O,713.42285,9.0,84.0,2.0135634518684316,-2.01,4.023563451868432,2.850704655217729,31.2
663656.0,Kyle Tucker,CHC,92.922816,36.36486,3.76957,33.0877008,19.208,102.9,96.04,4.5807487,102.9,90.552,0.2790251,0.089328,0.3827043,9.1295201,686,595.448,OF,O,761.9982048,7.0,84.0,2.395749442798158,-2.01,4.405749442798157,3.193106474915925,34.8
607208.0,Trea Turner,PHI,115.33718,35.558124,4.893238,24.84006,20.58,101.528,79.576,4.546614,135.828,45.276,0.2819133,0.0902526,0.3426328,7.9494525,686,640.724,SS,MI,696.42436,7.0,48.0,1.8473895378211593,-1.26,3.1073895378211596,2.0638744786921737,22.8
